date,userid,gesture,location,face orientation,repetition,file
20181211,user1,1,7,4,12,BVP-Data-Batch1/20181115/user1/user1-1-7-4-12_bvp.npz
20181211,user1,1,7,5,12,BVP-Data-Batch1/20181115/user1/user1-1-7-5-12_bvp.npz
20181211,user1,4,7,2,16,BVP-Data-Batch1/20181115/user1/user1-4-7-2-16_bvp.npz
20181211,user1,3,6,4,20,BVP-Data-Batch1/20181115/user1/user1-3-6-4-20_bvp.npz
20181211,user1,1,8,3,1,BVP-Data-Batch1/20181115/user1/user1-1-8-3-1_bvp.npz
20181211,user1,3,7,3,2,BVP-Data-Batch1/20181115/user1/user1-3-7-3-2_bvp.npz
20181211,user1,4,8,5,5,BVP-Data-Batch1/20181115/user1/user1-4-8-5-5_bvp.npz
20181211,user1,2,8,3,13,BVP-Data-Batch1/20181115/user1/user1-2-8-3-13_bvp.npz
20181211,user1,4,6,1,15,BVP-Data-Batch1/20181115/user1/user1-4-6-1-15_bvp.npz
20181211,user1,5,8,3,17,BVP-Data-Batch1/20181115/user1/user1-5-8-3-17_bvp.npz
20181211,user1,6,8,1,17,BVP-Data-Batch1/20181115/user1/user1-6-8-1-17_bvp.npz
20181211,user1,6,7,3,15,BVP-Data-Batch1/20181115/user1/user1-6-7-3-15_bvp.npz
20181211,user1,6,7,4,17,BVP-Data-Batch1/20181115/user1/user1-6-7-4-17_bvp.npz
20181211,user1,5,7,4,7,BVP-Data-Batch1/20181115/user1/user1-5-7-4-7_bvp.npz
20181211,user1,1,8,2,12,BVP-Data-Batch1/20181115/user1/user1-1-8-2-12_bvp.npz
20181211,user1,2,8,2,14,BVP-Data-Batch1/20181115/user1/user1-2-8-2-14_bvp.npz
20181211,user1,1,7,5,3,BVP-Data-Batch1/20181115/user1/user1-1-7-5-3_bvp.npz
20181211,user1,2,7,3,14,BVP-Data-Batch1/20181115/user1/user1-2-7-3-14_bvp.npz
20181211,user1,2,8,4,3,BVP-Data-Batch1/20181115/user1/user1-2-8-4-3_bvp.npz
20181211,user1,6,8,1,9,BVP-Data-Batch1/20181115/user1/user1-6-8-1-9_bvp.npz
20181211,user1,2,7,3,13,BVP-Data-Batch1/20181115/user1/user1-2-7-3-13_bvp.npz
20181211,user1,5,7,1,3,BVP-Data-Batch1/20181115/user1/user1-5-7-1-3_bvp.npz
20181211,user1,1,7,5,8,BVP-Data-Batch1/20181115/user1/user1-1-7-5-8_bvp.npz
20181211,user1,1,6,1,7,BVP-Data-Batch1/20181115/user1/user1-1-6-1-7_bvp.npz
20181211,user1,6,6,2,12,BVP-Data-Batch1/20181115/user1/user1-6-6-2-12_bvp.npz
20181211,user1,2,8,1,8,BVP-Data-Batch1/20181115/user1/user1-2-8-1-8_bvp.npz
20181211,user1,4,7,1,9,BVP-Data-Batch1/20181115/user1/user1-4-7-1-9_bvp.npz
20181211,user1,3,8,4,4,BVP-Data-Batch1/20181115/user1/user1-3-8-4-4_bvp.npz
20181211,user1,1,6,3,19,BVP-Data-Batch1/20181115/user1/user1-1-6-3-19_bvp.npz
20181211,user1,1,6,3,8,BVP-Data-Batch1/20181115/user1/user1-1-6-3-8_bvp.npz
20181211,user1,6,6,5,13,BVP-Data-Batch1/20181115/user1/user1-6-6-5-13_bvp.npz
20181211,user1,5,8,5,20,BVP-Data-Batch1/20181115/user1/user1-5-8-5-20_bvp.npz
20181211,user1,5,7,2,2,BVP-Data-Batch1/20181115/user1/user1-5-7-2-2_bvp.npz
20181211,user1,4,6,5,4,BVP-Data-Batch1/20181115/user1/user1-4-6-5-4_bvp.npz
20181211,user1,5,7,4,9,BVP-Data-Batch1/20181115/user1/user1-5-7-4-9_bvp.npz
20181211,user1,1,6,4,18,BVP-Data-Batch1/20181115/user1/user1-1-6-4-18_bvp.npz
20181211,user1,6,8,2,5,BVP-Data-Batch1/20181115/user1/user1-6-8-2-5_bvp.npz
20181211,user1,6,6,4,4,BVP-Data-Batch1/20181115/user1/user1-6-6-4-4_bvp.npz
20181211,user1,5,7,2,9,BVP-Data-Batch1/20181115/user1/user1-5-7-2-9_bvp.npz
20181211,user1,2,7,4,7,BVP-Data-Batch1/20181115/user1/user1-2-7-4-7_bvp.npz
20181211,user1,3,8,3,14,BVP-Data-Batch1/20181115/user1/user1-3-8-3-14_bvp.npz
20181211,user1,6,8,3,19,BVP-Data-Batch1/20181115/user1/user1-6-8-3-19_bvp.npz
20181211,user1,2,8,1,11,BVP-Data-Batch1/20181115/user1/user1-2-8-1-11_bvp.npz
20181211,user1,4,6,1,10,BVP-Data-Batch1/20181115/user1/user1-4-6-1-10_bvp.npz
20181211,user1,2,7,5,19,BVP-Data-Batch1/20181115/user1/user1-2-7-5-19_bvp.npz
20181211,user1,4,6,2,5,BVP-Data-Batch1/20181115/user1/user1-4-6-2-5_bvp.npz
20181211,user1,5,6,3,4,BVP-Data-Batch1/20181115/user1/user1-5-6-3-4_bvp.npz
20181211,user1,3,8,5,15,BVP-Data-Batch1/20181115/user1/user1-3-8-5-15_bvp.npz
20181211,user1,6,7,5,3,BVP-Data-Batch1/20181115/user1/user1-6-7-5-3_bvp.npz
20181211,user1,1,8,3,18,BVP-Data-Batch1/20181115/user1/user1-1-8-3-18_bvp.npz
20181211,user1,1,8,4,10,BVP-Data-Batch1/20181115/user1/user1-1-8-4-10_bvp.npz
20181211,user1,1,6,4,1,BVP-Data-Batch1/20181115/user1/user1-1-6-4-1_bvp.npz
20181211,user1,3,8,1,6,BVP-Data-Batch1/20181115/user1/user1-3-8-1-6_bvp.npz
20181211,user1,2,6,2,20,BVP-Data-Batch1/20181115/user1/user1-2-6-2-20_bvp.npz
20181211,user1,1,6,2,15,BVP-Data-Batch1/20181115/user1/user1-1-6-2-15_bvp.npz
20181211,user1,1,7,1,14,BVP-Data-Batch1/20181115/user1/user1-1-7-1-14_bvp.npz
20181211,user1,3,8,2,4,BVP-Data-Batch1/20181115/user1/user1-3-8-2-4_bvp.npz
20181211,user1,6,8,5,9,BVP-Data-Batch1/20181115/user1/user1-6-8-5-9_bvp.npz
20181211,user1,4,7,4,7,BVP-Data-Batch1/20181115/user1/user1-4-7-4-7_bvp.npz
20181211,user1,2,7,1,1,BVP-Data-Batch1/20181115/user1/user1-2-7-1-1_bvp.npz
20181211,user1,3,7,5,9,BVP-Data-Batch1/20181115/user1/user1-3-7-5-9_bvp.npz
20181211,user1,4,7,1,10,BVP-Data-Batch1/20181115/user1/user1-4-7-1-10_bvp.npz
20181211,user1,4,8,4,17,BVP-Data-Batch1/20181115/user1/user1-4-8-4-17_bvp.npz
20181211,user1,3,7,5,20,BVP-Data-Batch1/20181115/user1/user1-3-7-5-20_bvp.npz
20181211,user1,1,7,4,8,BVP-Data-Batch1/20181115/user1/user1-1-7-4-8_bvp.npz
20181211,user1,3,8,5,19,BVP-Data-Batch1/20181115/user1/user1-3-8-5-19_bvp.npz
20181211,user1,1,6,5,7,BVP-Data-Batch1/20181115/user1/user1-1-6-5-7_bvp.npz
