motion,orientation,location,mode,accuracy,n_train,n_val,n_test,train_time_s
1,1,1,bvp,0.4706,102,34,34,5.8
1,1,1,bap,0.3529,102,34,34,5.1
1,1,2,bvp,0.4412,102,34,34,5.7
1,1,2,bap,0.3235,102,34,34,5.8
1,1,3,bvp,0.3824,101,34,34,5.4
1,1,3,bap,0.2353,101,34,34,5.5
1,1,4,bvp,0.5000,102,34,34,6.1
1,1,4,bap,0.5000,102,34,34,6.4
1,1,5,bvp,0.4118,102,34,34,5.9
1,1,5,bap,0.4118,102,34,34,5.8
1,2,1,bvp,0.5000,102,34,34,5.7
1,2,1,bap,0.4412,102,34,34,5.3
1,2,2,bvp,0.5294,102,34,34,5.0
1,2,2,bap,0.4706,102,34,34,5.1
1,2,3,bvp,0.5000,102,34,34,5.1
1,2,3,bap,0.4412,102,34,34,5.3
1,2,4,bvp,0.5000,102,34,34,5.8
1,2,4,bap,0.3824,102,34,34,5.8
1,2,5,bvp,0.5294,102,34,34,5.5
1,2,5,bap,0.4412,102,34,34,5.5
1,3,1,bvp,0.4412,102,34,34,5.5
1,3,1,bap,0.4706,102,34,34,5.2
1,3,2,bvp,0.5000,102,34,34,6.2
1,3,2,bap,0.5000,102,34,34,6.0
1,3,3,bvp,0.5000,102,34,34,5.2
1,3,3,bap,0.5000,102,34,34,5.5
1,3,4,bvp,0.5000,102,34,34,5.9
1,3,4,bap,0.4412,102,34,34,6.0
1,3,5,bvp,0.5000,102,34,34,5.5
1,3,5,bap,0.3235,102,34,34,5.5
1,4,1,bvp,0.5000,102,34,34,5.7
1,4,1,bap,0.5000,102,34,34,5.4
1,4,2,bvp,0.5000,102,34,34,7.1
1,4,2,bap,0.4706,102,34,34,7.1
1,4,3,bvp,0.5000,102,34,34,6.0
1,4,3,bap,0.5000,102,34,34,6.1
1,4,4,bvp,0.5000,102,34,34,5.0
1,4,4,bap,0.5000,102,34,34,5.7
1,4,5,bvp,0.4412,102,34,34,5.5
1,4,5,bap,0.4706,102,34,34,5.2
1,5,1,bvp,0.4706,102,34,34,5.5
1,5,1,bap,0.4706,102,34,34,5.3
1,5,2,bvp,0.5000,102,34,34,5.5
1,5,2,bap,0.5000,102,34,34,5.4
1,5,3,bvp,0.5000,102,34,34,5.2
1,5,3,bap,0.5588,102,34,34,5.1
1,5,4,bvp,0.5000,102,34,34,5.7
1,5,4,bap,0.5000,102,34,34,5.4
1,5,5,bvp,0.5000,102,34,34,5.7
1,5,5,bap,0.5000,102,34,34,5.6
2,1,1,bvp,0.4848,99,33,33,6.9
2,1,1,bap,0.3333,99,33,33,6.5
2,1,2,bvp,0.2424,99,33,33,5.2
2,1,2,bap,0.2424,99,33,33,5.8
2,1,3,bvp,0.2727,99,33,33,5.8
2,1,3,bap,0.3939,99,33,33,6.0
2,1,4,bvp,0.3030,99,33,33,5.7
2,1,4,bap,0.3333,99,33,33,5.6
2,1,5,bvp,0.3030,99,33,33,6.3
2,1,5,bap,0.2727,99,33,33,6.0
2,2,1,bvp,0.3939,99,33,33,6.0
2,2,1,bap,0.4242,99,33,33,5.7
2,2,2,bvp,0.2121,99,33,33,6.0
2,2,2,bap,0.3030,99,33,33,5.8
2,2,3,bvp,0.3636,99,33,33,5.9
2,2,3,bap,0.3030,99,33,33,5.8
2,2,4,bvp,0.3636,99,33,33,6.2
2,2,4,bap,0.1818,99,33,33,6.0
2,2,5,bvp,0.3636,99,33,33,5.8
2,2,5,bap,0.3636,99,33,33,5.4
2,3,1,bvp,0.1818,99,33,33,6.2
2,3,1,bap,0.2121,99,33,33,6.0
2,3,2,bvp,0.3333,99,33,33,5.6
2,3,2,bap,0.3333,99,33,33,5.8
2,3,3,bvp,0.3030,99,33,33,5.6
2,3,3,bap,0.3333,99,33,33,5.9
2,3,4,bvp,0.1515,99,33,33,6.0
2,3,4,bap,0.2424,99,33,33,6.0
2,3,5,bvp,0.2727,99,33,33,5.7
2,3,5,bap,0.2727,99,33,33,5.9
2,4,1,bvp,0.2424,99,33,33,5.6
2,4,1,bap,0.2727,99,33,33,5.8
2,4,2,bvp,0.3333,99,33,33,5.7
2,4,2,bap,0.2727,99,33,33,5.8
2,4,3,bvp,0.3030,99,33,33,6.3
2,4,3,bap,0.3030,99,33,33,5.7
2,4,4,bvp,0.2727,99,33,33,5.6
2,4,4,bap,0.1515,99,33,33,5.2
2,4,5,bvp,0.2424,99,33,33,6.0
2,4,5,bap,0.2727,99,33,33,5.7
2,5,1,bvp,0.3333,99,33,33,5.9
2,5,1,bap,0.3030,99,33,33,5.6
2,5,2,bvp,0.3333,99,33,33,5.7
2,5,2,bap,0.2727,99,33,33,5.8
2,5,3,bvp,0.2424,99,33,33,6.0
2,5,3,bap,0.2424,99,33,33,5.5
2,5,4,bvp,0.3030,99,33,33,6.1
2,5,4,bap,0.3030,99,33,33,5.9
2,5,5,bvp,0.2727,99,33,33,5.8
2,5,5,bap,0.2424,99,33,33,5.5
3,1,1,bvp,0.3939,99,33,33,6.3
3,1,1,bap,0.2424,99,33,33,6.1
3,1,2,bvp,0.3636,99,33,33,5.7
3,1,2,bap,0.2121,99,33,33,6.1
3,1,3,bvp,0.2727,99,33,33,5.8
3,1,3,bap,0.3333,99,33,33,5.7
3,1,4,bvp,0.2727,99,33,33,5.4
3,1,4,bap,0.1818,99,33,33,5.2
3,1,5,bvp,0.3333,99,33,33,5.6
3,1,5,bap,0.3333,99,33,33,5.6
3,2,1,bvp,0.3333,99,33,33,6.0
3,2,1,bap,0.3333,99,33,33,5.7
3,2,2,bvp,0.3636,99,33,33,6.1
3,2,2,bap,0.2727,99,33,33,6.5
3,2,3,bvp,0.2121,99,33,33,5.5
3,2,3,bap,0.3939,99,33,33,5.5
3,2,4,bvp,0.2424,99,33,33,5.6
3,2,4,bap,0.3333,99,33,33,5.2
3,2,5,bvp,0.3636,99,33,33,5.5
3,2,5,bap,0.3333,99,33,33,5.5
3,3,1,bvp,0.2727,99,33,33,5.5
3,3,1,bap,0.2727,99,33,33,5.6
3,3,2,bvp,0.2424,99,33,33,5.7
3,3,2,bap,0.2121,99,33,33,5.4
3,3,3,bvp,0.3333,99,33,33,5.7
3,3,3,bap,0.3333,99,33,33,5.4
3,3,4,bvp,0.2424,99,33,33,5.3
3,3,4,bap,0.2727,99,33,33,5.6
3,3,5,bvp,0.1515,98,33,33,5.4
3,3,5,bap,0.3636,98,33,33,5.5
3,4,1,bvp,0.5758,99,33,33,6.3
3,4,1,bap,0.4242,99,33,33,6.1
3,4,2,bvp,0.3939,99,33,33,6.4
3,4,2,bap,0.3333,99,33,33,6.2
3,4,3,bvp,0.2424,99,33,33,5.8
3,4,3,bap,0.3333,99,33,33,5.5
3,4,4,bvp,0.2121,99,33,33,5.6
3,4,4,bap,0.3333,99,33,33,5.7
3,4,5,bvp,0.1515,99,33,33,5.4
3,4,5,bap,0.2121,99,33,33,5.4
3,5,1,bvp,0.3333,99,33,33,6.0
3,5,1,bap,0.1818,99,33,33,5.8
3,5,2,bvp,0.2727,99,33,33,5.2
3,5,2,bap,0.2727,99,33,33,5.2
3,5,3,bvp,0.3333,99,33,33,5.5
3,5,3,bap,0.2424,99,33,33,5.5
3,5,4,bvp,0.4848,99,33,33,5.5
3,5,4,bap,0.3030,99,33,33,5.6
3,5,5,bvp,0.3333,99,33,33,5.3
3,5,5,bap,0.3636,99,33,33,5.7
4,1,1,bvp,0.5000,96,32,32,4.9
4,1,1,bap,0.5000,96,32,32,5.3
4,1,2,bvp,0.5000,96,32,32,5.5
4,1,2,bap,0.5000,96,32,32,5.4
4,1,3,bvp,0.5000,96,32,32,5.4
4,1,3,bap,0.4062,96,32,32,5.4
4,1,4,bvp,0.5000,96,32,32,6.3
4,1,4,bap,0.5000,96,32,32,6.5
4,1,5,bvp,0.5000,96,32,32,5.8
4,1,5,bap,0.5000,96,32,32,5.6
4,2,1,bvp,0.5000,96,32,32,5.1
4,2,1,bap,0.4062,96,32,32,4.9
4,2,2,bvp,0.4375,96,32,32,5.8
4,2,2,bap,0.5312,96,32,32,5.6
4,2,3,bvp,0.4375,96,32,32,5.5
4,2,3,bap,0.3438,96,32,32,5.3
4,2,4,bvp,0.4062,96,32,32,5.6
4,2,4,bap,0.4375,96,32,32,5.9
4,2,5,bvp,0.5000,96,32,32,5.6
4,2,5,bap,0.4375,96,32,32,5.7
4,3,1,bvp,0.4688,96,32,32,4.8
4,3,1,bap,0.5312,96,32,32,4.9
4,3,2,bvp,0.5000,96,32,32,5.7
4,3,2,bap,0.4375,96,32,32,6.1
4,3,3,bvp,0.5000,96,32,32,5.8
4,3,3,bap,0.4062,96,32,32,5.9
4,3,4,bvp,0.5000,96,32,32,5.8
4,3,4,bap,0.4062,96,32,32,6.0
4,3,5,bvp,0.5000,96,32,32,5.6
4,3,5,bap,0.5000,96,32,32,5.6
4,4,1,bvp,0.5000,96,32,32,5.2
4,4,1,bap,0.5312,96,32,32,5.2
4,4,2,bvp,0.3438,96,32,32,5.8
4,4,2,bap,0.3438,96,32,32,5.5
4,4,3,bvp,0.4688,96,32,32,5.7
4,4,3,bap,0.3750,96,32,32,5.7
4,4,4,bvp,0.5000,96,32,32,5.4
4,4,4,bap,0.5312,96,32,32,5.5
4,4,5,bvp,0.3438,96,32,32,5.7
4,4,5,bap,0.4062,96,32,32,5.7
4,5,1,bvp,0.5000,96,32,32,5.5
4,5,1,bap,0.5000,96,32,32,5.5
4,5,2,bvp,0.4688,96,32,32,5.3
4,5,2,bap,0.4688,96,32,32,5.5
4,5,3,bvp,0.5000,96,32,32,5.9
4,5,3,bap,0.4375,96,32,32,5.8
4,5,4,bvp,0.3750,96,32,32,5.7
4,5,4,bap,0.4062,96,32,32,5.5
4,5,5,bvp,0.5000,96,32,32,5.6
4,5,5,bap,0.5000,96,32,32,5.8
5,1,1,bvp,0.5161,93,31,31,6.1
5,1,1,bap,0.3548,93,31,31,6.1
5,1,2,bvp,0.6129,93,31,31,6.2
5,1,2,bap,0.4839,93,31,31,5.9
5,1,3,bvp,0.5161,93,31,31,5.8
5,1,3,bap,0.4839,93,31,31,5.9
5,1,4,bvp,0.4516,93,31,31,5.8
5,1,4,bap,0.4194,93,31,31,5.8
5,1,5,bvp,0.5161,93,31,31,6.2
5,1,5,bap,0.4839,93,31,31,6.1
5,2,1,bvp,0.4839,93,31,31,6.4
5,2,1,bap,0.5161,93,31,31,6.1
5,2,2,bvp,0.5161,93,31,31,5.9
5,2,2,bap,0.2581,93,31,31,5.8
5,2,3,bvp,0.5161,93,31,31,6.1
5,2,3,bap,0.4516,93,31,31,5.8
5,2,4,bvp,0.5161,93,31,31,6.1
5,2,4,bap,0.3548,93,31,31,6.0
5,2,5,bvp,0.3871,93,31,31,5.6
5,2,5,bap,0.5161,93,31,31,5.8
5,3,1,bvp,0.4194,93,31,31,6.1
5,3,1,bap,0.4194,93,31,31,5.8
5,3,2,bvp,0.4516,93,31,31,6.0
5,3,2,bap,0.4839,93,31,31,6.0
5,3,3,bvp,0.5806,93,31,31,6.0
5,3,3,bap,0.5161,93,31,31,5.7
5,3,4,bvp,0.5161,93,31,31,5.5
5,3,4,bap,0.5484,93,31,31,5.5
5,3,5,bvp,0.4194,93,31,31,5.7
5,3,5,bap,0.3871,93,31,31,5.6
5,4,1,bvp,0.5161,93,31,31,5.5
5,4,1,bap,0.3548,93,31,31,5.7
5,4,2,bvp,0.4839,93,31,31,5.8
5,4,2,bap,0.5161,93,31,31,5.8
5,4,3,bvp,0.3226,93,31,31,6.2
5,4,3,bap,0.4516,93,31,31,6.3
5,4,4,bvp,0.4194,93,31,31,5.8
5,4,4,bap,0.4839,93,31,31,5.7
5,4,5,bvp,0.4516,93,31,31,5.6
5,4,5,bap,0.4516,93,31,31,5.8
5,5,1,bvp,0.4194,93,31,31,5.8
5,5,1,bap,0.4516,93,31,31,5.8
5,5,2,bvp,0.5161,93,31,31,5.9
5,5,2,bap,0.4516,93,31,31,5.7
5,5,3,bvp,0.5484,93,31,31,5.8
5,5,3,bap,0.3871,93,31,31,5.9
5,5,4,bvp,0.4839,93,31,31,6.1
5,5,4,bap,0.4839,93,31,31,6.1
5,5,5,bvp,0.3871,93,31,31,5.8
5,5,5,bap,0.4516,93,31,31,5.6
6,1,1,bvp,0.5333,90,30,30,7.8
6,1,1,bap,0.4000,90,30,30,7.7
6,1,2,bvp,0.5000,90,30,30,6.5
6,1,2,bap,0.5333,90,30,30,6.4
6,1,3,bvp,0.5333,90,30,30,5.9
6,1,3,bap,0.4000,90,30,30,5.8
6,1,4,bvp,0.5333,90,30,30,6.1
6,1,4,bap,0.5333,90,30,30,6.2
6,1,5,bvp,0.3333,90,30,30,5.9
6,1,5,bap,0.4667,90,30,30,6.0
6,2,1,bvp,0.4667,90,30,30,6.4
6,2,1,bap,0.3333,90,30,30,6.4
6,2,2,bvp,0.5000,90,30,30,6.0
6,2,2,bap,0.4667,90,30,30,5.9
6,2,3,bvp,0.5333,90,30,30,5.5
6,2,3,bap,0.4000,90,30,30,5.8
6,2,4,bvp,0.5333,90,30,30,6.1
6,2,4,bap,0.4000,90,30,30,6.3
6,2,5,bvp,0.2000,90,30,30,6.2
6,2,5,bap,0.4000,90,30,30,6.3
6,3,1,bvp,0.5333,90,30,30,6.1
6,3,1,bap,0.4333,90,30,30,6.2
6,3,2,bvp,0.5333,90,30,30,6.1
6,3,2,bap,0.3333,90,30,30,5.8
6,3,3,bvp,0.4333,90,30,30,6.6
6,3,3,bap,0.5333,90,30,30,6.3
6,3,4,bvp,0.3667,90,30,30,5.8
6,3,4,bap,0.4000,90,30,30,5.9
6,3,5,bvp,0.5333,90,30,30,5.9
6,3,5,bap,0.5000,90,30,30,5.8
6,4,1,bvp,0.5333,90,30,30,6.2
6,4,1,bap,0.4667,90,30,30,6.0
6,4,2,bvp,0.1667,90,30,30,5.9
